TERM , D, IDF, TF-IDF
,273271,,0.0, 0.0,
*Caveat:,1,,0.0, 0.0,
+13%,1,,0.0, 0.0,
+25%,1,,0.0, 0.0,
+87%,1,,0.0, 0.0,
+92%,1,,0.0, 0.0,
0,540,,0.0, 0.0,
0%,29,,0.0, 0.0,
0.1,1,,0.0, 0.0,
0.2‐0.3%,1,,0.0, 0.0,
0.35,1,,0.0, 0.0,
0.5,2,,0.0, 0.0,
0ac7eb84e5f1?mhq5j=e2,1,,0.0, 0.0,
0‐4,1,,0.0, 0.0,
1,769,,0.0, 0.0,
1,000,1,,0.0, 0.0,
1,500,1,,0.0, 0.0,
1,600,1,,0.0, 0.0,
1.,40,,0.0, 0.0,
1.5,2,,0.0, 0.0,
10,69,,0.0, 0.0,
10%,3,,0.0, 0.0,
10.,14,,0.0, 0.0,
100,10,,0.0, 0.0,
100%,2,,0.0, 0.0,
10000,2,,0.0, 0.0,
101,1,,0.0, 0.0,
102,2,,0.0, 0.0,
103,2,,0.0, 0.0,
104,1,,0.0, 0.0,
105,2,,0.0, 0.0,
106,1,,0.0, 0.0,
107,1,,0.0, 0.0,
108,1,,0.0, 0.0,
109,1,,0.0, 0.0,
10K,1,,0.0, 0.0,
10Q,1,,0.0, 0.0,
11,49,,0.0, 0.0,
11.,14,,0.0, 0.0,
110,1,,0.0, 0.0,
111,1,,0.0, 0.0,
112,1,,0.0, 0.0,
113,1,,0.0, 0.0,
114,1,,0.0, 0.0,
115,1,,0.0, 0.0,
116,1,,0.0, 0.0,
117,1,,0.0, 0.0,
118,1,,0.0, 0.0,
119,1,,0.0, 0.0,
12,48,,0.0, 0.0,
12.,13,,0.0, 0.0,
120,4,,0.0, 0.0,
12000,1,,0.0, 0.0,
121,3,,0.0, 0.0,
122,1,,0.0, 0.0,
123,1,,0.0, 0.0,
124,1,,0.0, 0.0,
125,1,,0.0, 0.0,
126,2,,0.0, 0.0,
127,1,,0.0, 0.0,
128,1,,0.0, 0.0,
129,3,,0.0, 0.0,
13,35,,0.0, 0.0,
13%,2,,0.0, 0.0,
13.,6,,0.0, 0.0,
130,1,,0.0, 0.0,
131,1,,0.0, 0.0,
132,1,,0.0, 0.0,
133,1,,0.0, 0.0,
134,1,,0.0, 0.0,
135,1,,0.0, 0.0,
136,2,,0.0, 0.0,
137,1,,0.0, 0.0,
138,1,,0.0, 0.0,
139,1,,0.0, 0.0,
14,43,,0.0, 0.0,
14,,4,,0.0, 0.0,
14.,7,,0.0, 0.0,
140,5,,0.0, 0.0,
14000,1,,0.0, 0.0,
141,1,,0.0, 0.0,
142,2,,0.0, 0.0,
143,1,,0.0, 0.0,
144,1,,0.0, 0.0,
145,2,,0.0, 0.0,
1451519092,1,,0.0, 0.0,
146,2,,0.0, 0.0,
147,3,,0.0, 0.0,
148,2,,0.0, 0.0,
149,1,,0.0, 0.0,
15,75,,0.0, 0.0,
15,,19,,0.0, 0.0,
15.,6,,0.0, 0.0,
150,7,,0.0, 0.0,
15000,2,,0.0, 0.0,
151,3,,0.0, 0.0,
152,1,,0.0, 0.0,
153,1,,0.0, 0.0,
154,1,,0.0, 0.0,
155,2,,0.0, 0.0,
155%,1,,0.0, 0.0,
156,1,,0.0, 0.0,
157,2,,0.0, 0.0,
158,1,,0.0, 0.0,
159,2,,0.0, 0.0,
16,79,,0.0, 0.0,
16,,9,,0.0, 0.0,
16.,7,,0.0, 0.0,
160,4,,0.0, 0.0,
160%,,1,,0.0, 0.0,
16000,1,,0.0, 0.0,
161,2,,0.0, 0.0,
162,2,,0.0, 0.0,
163,2,,0.0, 0.0,
164,1,,0.0, 0.0,
165,2,,0.0, 0.0,
166,2,,0.0, 0.0,
167,2,,0.0, 0.0,
168,2,,0.0, 0.0,
169,1,,0.0, 0.0,
17,70,,0.0, 0.0,
17%,1,,0.0, 0.0,
17,,4,,0.0, 0.0,
17.,3,,0.0, 0.0,
170,1,,0.0, 0.0,
171,1,,0.0, 0.0,
172,1,,0.0, 0.0,
173,1,,0.0, 0.0,
174,1,,0.0, 0.0,
175,1,,0.0, 0.0,
176,1,,0.0, 0.0,
177,1,,0.0, 0.0,
178,1,,0.0, 0.0,
179,2,,0.0, 0.0,
18,23,,0.0, 0.0,
18.,5,,0.0, 0.0,
18.6%,1,,0.0, 0.0,
180,2,,0.0, 0.0,
181,1,,0.0, 0.0,
182,1,,0.0, 0.0,
183,1,,0.0, 0.0,
184,1,,0.0, 0.0,
185,1,,0.0, 0.0,
186,1,,0.0, 0.0,
187,1,,0.0, 0.0,
188,1,,0.0, 0.0,
189,2,,0.0, 0.0,
19,16,,0.0, 0.0,
19.2,1,,0.0, 0.0,
190,4,,0.0, 0.0,
191,1,,0.0, 0.0,
192,1,,0.0, 0.0,
193,1,,0.0, 0.0,
194,1,,0.0, 0.0,
195,2,,0.0, 0.0,
196,1,,0.0, 0.0,
2,611,,0.0, 0.0,
2%,9,,0.0, 0.0,
2.,43,,0.0, 0.0,
2.0,4,,0.0, 0.0,
2.0:,1,,0.0, 0.0,
2.1,2,,0.0, 0.0,
2.5,3,,0.0, 0.0,
20,207,,0.0, 0.0,
20%,3,,0.0, 0.0,
200,15,,0.0, 0.0,
2000,3,,0.0, 0.0,
20000,1,,0.0, 0.0,
20022),,1,,0.0, 0.0,
2003,1,,0.0, 0.0,
2005,2,,0.0, 0.0,
2007,2,,0.0, 0.0,
2009,4,,0.0, 0.0,
2009,,1,,0.0, 0.0,
2009‐2015,1,,0.0, 0.0,
2010,3,,0.0, 0.0,
2010,,1,,0.0, 0.0,
2011,5,,0.0, 0.0,
2011”.,1,,0.0, 0.0,
2012,4,,0.0, 0.0,
2012,,1,,0.0, 0.0,
2013,9,,0.0, 0.0,
2014,8,,0.0, 0.0,
2014,,1,,0.0, 0.0,
2014.10,1,,0.0, 0.0,
2014‐2015,1,,0.0, 0.0,
2015,39,,0.0, 0.0,
2015),,1,,0.0, 0.0,
2015,,18,,0.0, 0.0,
2016,54,,0.0, 0.0,
2016),3,,0.0, 0.0,
2016).,1,,0.0, 0.0,
2016,,8,,0.0, 0.0,
2016,1,1,,0.0, 0.0,
2016,2,1,,0.0, 0.0,
2016.,5,,0.0, 0.0,
2016.3,1,,0.0, 0.0,
2016.7,1,,0.0, 0.0,
2016.aspx,1,,0.0, 0.0,
20166,1,,0.0, 0.0,
2016”.,2,,0.0, 0.0,
2017,50,,0.0, 0.0,
2017,,3,,0.0, 0.0,
2017:,2,,0.0, 0.0,
2017”.,3,,0.0, 0.0,
2018,2,,0.0, 0.0,
2018.8,1,,0.0, 0.0,
2019,1,,0.0, 0.0,
2022,2,,0.0, 0.0,
2022,,1,,0.0, 0.0,
2025,1,,0.0, 0.0,
20‐39,1,,0.0, 0.0,
21,6,,0.0, 0.0,
216,1,,0.0, 0.0,
22,10,,0.0, 0.0,
22%,1,,0.0, 0.0,
22.1,1,,0.0, 0.0,
23,12,,0.0, 0.0,
23.7%,1,,0.0, 0.0,
24,12,,0.0, 0.0,
24%,1,,0.0, 0.0,
24/7,2,,0.0, 0.0,
24/7.,1,,0.0, 0.0,
249,1,,0.0, 0.0,
25,7,,0.0, 0.0,
25%,2,,0.0, 0.0,
25000,1,,0.0, 0.0,
26,13,,0.0, 0.0,
26%,2,,0.0, 0.0,
27,9,,0.0, 0.0,
27.2,1,,0.0, 0.0,
28,8,,0.0, 0.0,
29,6,,0.0, 0.0,
3,339,,0.0, 0.0,
3%,9,,0.0, 0.0,
3,500,1,,0.0, 0.0,
3.,41,,0.0, 0.0,
3.1,2,,0.0, 0.0,
3.2,2,,0.0, 0.0,
3.3,3,,0.0, 0.0,
3.4,2,,0.0, 0.0,
3.5,3,,0.0, 0.0,
3.6,2,,0.0, 0.0,
3.7,3,,0.0, 0.0,
3.9,1,,0.0, 0.0,
30,18,,0.0, 0.0,
30%,2,,0.0, 0.0,
300,7,,0.0, 0.0,
300,000,1,,0.0, 0.0,
30000,1,,0.0, 0.0,
305,1,,0.0, 0.0,
31,2,,0.0, 0.0,
32,9,,0.0, 0.0,
32%,2,,0.0, 0.0,
33,4,,0.0, 0.0,
33%,2,,0.0, 0.0,
34,5,,0.0, 0.0,
34.6,1,,0.0, 0.0,
35,11,,0.0, 0.0,
35%,1,,0.0, 0.0,
35.1,1,,0.0, 0.0,
36,9,,0.0, 0.0,
37,5,,0.0, 0.0,
37%,2,,0.0, 0.0,
38,3,,0.0, 0.0,
39,7,,0.0, 0.0,
3‐Year,1,,0.0, 0.0,
4,244,,0.0, 0.0,
4),4,,0.0, 0.0,
4.,28,,0.0, 0.0,
4.0:,1,,0.0, 0.0,
4.2,1,,0.0, 0.0,
40,16,,0.0, 0.0,
40%,3,,0.0, 0.0,
40+,1,,0.0, 0.0,
400,4,,0.0, 0.0,
4000,2,,0.0, 0.0,
41,7,,0.0, 0.0,
41.1%,1,,0.0, 0.0,
42,7,,0.0, 0.0,
42%,1,,0.0, 0.0,
42nd,1,,0.0, 0.0,
43,6,,0.0, 0.0,
44,7,,0.0, 0.0,
44%,1,,0.0, 0.0,
45,9,,0.0, 0.0,
45,000,1,,0.0, 0.0,
450,2,,0.0, 0.0,
450%,1,,0.0, 0.0,
46,10,,0.0, 0.0,
460,1,,0.0, 0.0,
47,13,,0.0, 0.0,
470,3,,0.0, 0.0,
48,7,,0.0, 0.0,
48%,1,,0.0, 0.0,
48.8%,1,,0.0, 0.0,
49,4,,0.0, 0.0,
5,251,,0.0, 0.0,
5.,23,,0.0, 0.0,
50,25,,0.0, 0.0,
50%,5,,0.0, 0.0,
500,9,,0.0, 0.0,
5000,4,,0.0, 0.0,
51,5,,0.0, 0.0,
52,4,,0.0, 0.0,
53,6,,0.0, 0.0,
53%,1,,0.0, 0.0,
530,1,,0.0, 0.0,
54,4,,0.0, 0.0,
55,4,,0.0, 0.0,
56,4,,0.0, 0.0,
567,1,,0.0, 0.0,
57,9,,0.0, 0.0,
57%,1,,0.0, 0.0,
58,5,,0.0, 0.0,
59,6,,0.0, 0.0,
59.2%,1,,0.0, 0.0,
5th,,1,,0.0, 0.0,
5‐19,1,,0.0, 0.0,
6,239,,0.0, 0.0,
6.,24,,0.0, 0.0,
6.1,1,,0.0, 0.0,
60,23,,0.0, 0.0,
60%,4,,0.0, 0.0,
60+,1,,0.0, 0.0,
60.4,1,,0.0, 0.0,
600,5,,0.0, 0.0,
6000,2,,0.0, 0.0,
61,8,,0.0, 0.0,
62,6,,0.0, 0.0,
63,7,,0.0, 0.0,
63.3%,1,,0.0, 0.0,
635,2,,0.0, 0.0,
64,9,,0.0, 0.0,
64%,1,,0.0, 0.0,
65,8,,0.0, 0.0,
650,1,,0.0, 0.0,
66,8,,0.0, 0.0,
67,4,,0.0, 0.0,
68,5,,0.0, 0.0,
69,5,,0.0, 0.0,
7,213,,0.0, 0.0,
7%,8,,0.0, 0.0,
7.,23,,0.0, 0.0,
7.4,1,,0.0, 0.0,
70,10,,0.0, 0.0,
70%,3,,0.0, 0.0,
700,1,,0.0, 0.0,
71,3,,0.0, 0.0,
72,3,,0.0, 0.0,
73,5,,0.0, 0.0,
74,4,,0.0, 0.0,
75,5,,0.0, 0.0,
76,3,,0.0, 0.0,
77,6,,0.0, 0.0,
78,12,,0.0, 0.0,
78%,1,,0.0, 0.0,
79,5,,0.0, 0.0,
795,1,,0.0, 0.0,
8,153,,0.0, 0.0,
8%,4,,0.0, 0.0,
8.,23,,0.0, 0.0,
8.2,1,,0.0, 0.0,
8.5,1,,0.0, 0.0,
80,9,,0.0, 0.0,
80%,2,,0.0, 0.0,
8000,1,,0.0, 0.0,
81,4,,0.0, 0.0,
82,8,,0.0, 0.0,
83,3,,0.0, 0.0,
84,6,,0.0, 0.0,
85,7,,0.0, 0.0,
85%,1,,0.0, 0.0,
86,6,,0.0, 0.0,
87,5,,0.0, 0.0,
88,7,,0.0, 0.0,
89,4,,0.0, 0.0,
9,118,,0.0, 0.0,
9.,16,,0.0, 0.0,
90,9,,0.0, 0.0,
90.7%,1,,0.0, 0.0,
91,5,,0.0, 0.0,
92,6,,0.0, 0.0,
93,4,,0.0, 0.0,
94,4,,0.0, 0.0,
95,7,,0.0, 0.0,
96,7,,0.0, 0.0,
97,1,,0.0, 0.0,
98,2,,0.0, 0.0,
99,4,,0.0, 0.0,
9th”.,1,,0.0, 0.0,
<,1,,0.0, 0.0,
>1%,1,,0.0, 0.0,
A,1249,,0.0, 0.0,
A.M.,2,,0.0, 0.0,
ABOUT,7,,0.0, 0.0,
ACCELERATING,1,,0.0, 0.0,
ACKNOWLEDGEMENTS,5,,0.0, 0.0,
ADP,1,,0.0, 0.0,
ADVICE,2,,0.0, 0.0,
ADVICE‐DRIVEN,1,,0.0, 0.0,
ADVISERS,1,,0.0, 0.0,
AG,28,,0.0, 0.0,
AGGREGATION,1,,0.0, 0.0,
AI,100,,0.0, 0.0,
AI),2,,0.0, 0.0,
AI,,3,,0.0, 0.0,
AIB,1,,0.0, 0.0,
AIG,4,,0.0, 0.0,
AI‐driven,1,,0.0, 0.0,
ALONE,1,,0.0, 0.0,
AMEX,1,,0.0, 0.0,
AN,123,,0.0, 0.0,
AND,4,,0.0, 0.0,
API,16,,0.0, 0.0,
APIs,13,,0.0, 0.0,
APIs,,2,,0.0, 0.0,
APIs.,2,,0.0, 0.0,
APPROACH,3,,0.0, 0.0,
APrivacy,1,,0.0, 0.0,
ARCHETYPES,9,,0.0, 0.0,
AS,65,,0.0, 0.0,
AT,134,,0.0, 0.0,
ATB,1,,0.0, 0.0,
ATM,3,,0.0, 0.0,
ATMs,2,,0.0, 0.0,
ATMs,,1,,0.0, 0.0,
AUM,1,,0.0, 0.0,
AWS,3,,0.0, 0.0,
Abdulla,1,,0.0, 0.0,
Abel,1,,0.0, 0.0,
Ability,1,,0.0, 0.0,
Absent,1,,0.0, 0.0,
Acadamy,1,,0.0, 0.0,
Accelerating,1,,0.0, 0.0,
Accelerator,1,,0.0, 0.0,
According,1,,0.0, 0.0,
Account,2,,0.0, 0.0,
Accredited,1,,0.0, 0.0,
Achilles,1,,0.0, 0.0,
Acknowledgements,3,,0.0, 0.0,
Acknowledgements……………………………………………………………………………………………………………………………………………………………………………..,1,,0.0, 0.0,
Acosta,1,,0.0, 0.0,
Acquisition,1,,0.0, 0.0,
Act.4,1,,0.0, 0.0,
Acting,2,,0.0, 0.0,
Adam,1,,0.0, 0.0,
Adaptable,1,,0.0, 0.0,
Adaptation,1,,0.0, 0.0,
Added,1,,0.0, 0.0,
Addepar's*,1,,0.0, 0.0,
Additional,10,,0.0, 0.0,
Additionally,,4,,0.0, 0.0,
Adjudication,1,,0.0, 0.0,
Administration”.,1,,0.0, 0.0,
Administrative,1,,0.0, 0.0,
Adnam's,1,,0.0, 0.0,
Adoption,2,,0.0, 0.0,
Adoption”.,1,,0.0, 0.0,
Advertising,1,,0.0, 0.0,
Advice,4,,0.0, 0.0,
Adviser,3,,0.0, 0.0,
Adviser),1,,0.0, 0.0,
Advisers,1,,0.0, 0.0,
Advisor,10,,0.0, 0.0,
Africa,4,,0.0, 0.0,
Africa,,2,,0.0, 0.0,
Africa.,1,,0.0, 0.0,
Age,4,,0.0, 0.0,
Aggregated,1,,0.0, 0.0,
Aggregation,4,,0.0, 0.0,
Agile,1,,0.0, 0.0,
Agrawal,,1,,0.0, 0.0,
Agricole's,1,,0.0, 0.0,
Agricole,,1,,0.0, 0.0,
Airbnb,6,,0.0, 0.0,
Airbnb.,1,,0.0, 0.0,
Ajay,1,,0.0, 0.0,
Akin,1,,0.0, 0.0,
Aladdin,1,,0.0, 0.0,
Alex,6,,0.0, 0.0,
Alexa,4,,0.0, 0.0,
Alexa),1,,0.0, 0.0,
Alexander,1,,0.0, 0.0,
Alexandra,1,,0.0, 0.0,
Algomi,5,,0.0, 0.0,
Algomi.,2,,0.0, 0.0,
Algomi.10,1,,0.0, 0.0,
Algorithm‐driven,1,,0.0, 0.0,
Alibaba,1,,0.0, 0.0,
Alipay,3,,0.0, 0.0,
All,20,,0.0, 0.0,
AllQ,2,,0.0, 0.0,
Allen,2,,0.0, 0.0,
Allianz,2,,0.0, 0.0,
Alonzo,1,,0.0, 0.0,
Alpha,1,,0.0, 0.0,
Also,3,,0.0, 0.0,
Also,,2,,0.0, 0.0,
AltFi,2,,0.0, 0.0,
Alternative,10,,0.0, 0.0,
Alternatively,,2,,0.0, 0.0,
Although,2,,0.0, 0.0,
Alvarado,1,,0.0, 0.0,
Amar,1,,0.0, 0.0,
Amato‐Gauci,1,,0.0, 0.0,
Amazon,18,,0.0, 0.0,
Amazon,,2,,0.0, 0.0,
Amazon’s,4,,0.0, 0.0,
Ambrose,1,,0.0, 0.0,
America,14,,0.0, 0.0,
America/Merrill,2,,0.0, 0.0,
American,3,,0.0, 0.0,
Americans,1,,0.0, 0.0,
Americas,3,,0.0, 0.0,
Amy,1,,0.0, 0.0,
An,36,,0.0, 0.0,
Analysis,2,,0.0, 0.0,
Anaxago,1,,0.0, 0.0,
And,11,,0.0, 0.0,
Andre,8,,0.0, 0.0,
Andreas,1,,0.0, 0.0,
Andrew,6,,0.0, 0.0,
Andrews,1,,0.0, 0.0,
Andy,1,,0.0, 0.0,
Angel,6,,0.0, 0.0,
AngelList,5,,0.0, 0.0,
AngelList.,1,,0.0, 0.0,
Anju,1,,0.0, 0.0,
Ankur,1,,0.0, 0.0,
Ann,6,,0.0, 0.0,
Anne,1,,0.0, 0.0,
Annual,4,,0.0, 0.0,
Anthemis,1,,0.0, 0.0,
Anywhere,1,,0.0, 0.0,
App,50,,0.0, 0.0,
Apple,15,,0.0, 0.0,
Apple's,1,,0.0, 0.0,
Apple’s,1,,0.0, 0.0,
Application,1,,0.0, 0.0,
Approach,26,,0.0, 0.0,
Approach…………………………………………………….………………………………………………………………………………………………..……………..,1,,0.0, 0.0,
Approval,2,,0.0, 0.0,
Approved,1,,0.0, 0.0,
Apps:,1,,0.0, 0.0,
April,4,,0.0, 0.0,
April”.,1,,0.0, 0.0,
Architect,,1,,0.0, 0.0,
Are,5,,0.0, 0.0,
Area,1,,0.0, 0.0,
Arps,2,,0.0, 0.0,
Ars,2,,0.0, 0.0,
Artificial,2,,0.0, 0.0,
As,99,,0.0, 0.0,
Asia,7,,0.0, 0.0,
Asia,,1,,0.0, 0.0,
Asia.2,1,,0.0, 0.0,
Asian,2,,0.0, 0.0,
Assessment,1,,0.0, 0.0,
Asset,23,,0.0, 0.0,
Assets,6,,0.0, 0.0,
Assets”.,1,,0.0, 0.0,
Assistants,1,,0.0, 0.0,
At,10,,0.0, 0.0,
Atom,1,,0.0, 0.0,
Attia,1,,0.0, 0.0,
Attracting,1,,0.0, 0.0,
Attractive,1,,0.0, 0.0,
Augmentum,1,,0.0, 0.0,
August,2,,0.0, 0.0,
Australia,7,,0.0, 0.0,
Australia),,1,,0.0, 0.0,
Australia,,2,,0.0, 0.0,
Author,6,,0.0, 0.0,
Author,,2,,0.0, 0.0,
Authority,2,,0.0, 0.0,
Authority's,1,,0.0, 0.0,
Authors,1,,0.0, 0.0,
Automated,3,,0.0, 0.0,
Automation,5,,0.0, 0.0,
Available,1,,0.0, 0.0,
Average,3,,0.0, 0.0,
Avi,1,,0.0, 0.0,
Awareness,1,,0.0, 0.0,
Axel,1,,0.0, 0.0,
Ayasdi,1,,0.0, 0.0,
B,511,,0.0, 0.0,
B2B,19,,0.0, 0.0,
B2B,,1,,0.0, 0.0,
B2C,4,,0.0, 0.0,
BALANCE,1,,0.0, 0.0,
BANKING,22,,0.0, 0.0,
BBVA,4,,0.0, 0.0,
BBVA’s,1,,0.0, 0.0,
BIG,8,,0.0, 0.0,
BIGGER,1,,0.0, 0.0,
BIONIC,2,,0.0, 0.0,
BIS,2,,0.0, 0.0,
BMO,4,,0.0, 0.0,
BROADER,1,,0.0, 0.0,
BY,1,,0.0, 0.0,
Baby,1,,0.0, 0.0,
Backups,1,,0.0, 0.0,
Baer,1,,0.0, 0.0,
Bagnall,1,,0.0, 0.0,
Baidu,2,,0.0, 0.0,
Baidu’s,1,,0.0, 0.0,
Bailey,1,,0.0, 0.0,
Bain,2,,0.0, 0.0,
Bajorat,1,,0.0, 0.0,
Bajpai,1,,0.0, 0.0,
Balderton,2,,0.0, 0.0,
Bale,1,,0.0, 0.0,
Bank,82,,0.0, 0.0,
Bank/fintech,1,,0.0, 0.0,
Banker,2,,0.0, 0.0,
Banker.,1,,0.0, 0.0,
Banking,14,,0.0, 0.0,
Banking.,1,,0.0, 0.0,
Banking:,1,,0.0, 0.0,
Banking…………………………………………………………………………………………………………………………………………………………………………..,1,,0.0, 0.0,
Banks,35,,0.0, 0.0,
Barclays,2,,0.0, 0.0,
Barking,1,,0.0, 0.0,
Barriers,2,,0.0, 0.0,
Bart,1,,0.0, 0.0,
Based,4,,0.0, 0.0,
Basel,1,,0.0, 0.0,
Basis,1,,0.0, 0.0,
Battle,1,,0.0, 0.0,
Be,33,,0.0, 0.0,
Beatriz,1,,0.0, 0.0,
Beaudry,1,,0.0, 0.0,
Because,2,,0.0, 0.0,
Becoming,2,,0.0, 0.0,
Before,3,,0.0, 0.0,
Behalf,1,,0.0, 0.0,
Belfius,2,,0.0, 0.0,
Benedicte,1,,0.0, 0.0,
Benefits,1,,0.0, 0.0,
Benefitting,1,,0.0, 0.0,
Benjamin,1,,0.0, 0.0,
Benjy,1,,0.0, 0.0,
Benoit,1,,0.0, 0.0,
Bergh,1,,0.0, 0.0,
Bet,8,,0.0, 0.0,
Beta,1,,0.0, 0.0,
Beth,1,,0.0, 0.0,
Betsy,1,,0.0, 0.0,
Betterment,3,,0.0, 0.0,
Betting,1,,0.0, 0.0,
Beyond,1,,0.0, 0.0,
Bianca,1,,0.0, 0.0,
Big,4,,0.0, 0.0,
Bill,4,,0.0, 0.0,
Billion,2,,0.0, 0.0,
Billy,1,,0.0, 0.0,
Bima,1,,0.0, 0.0,
Bionic,1,,0.0, 0.0,
Bison,1,,0.0, 0.0,
Bitcoin,3,,0.0, 0.0,
Bitfinex,,1,,0.0, 0.0,
Bjorn,1,,0.0, 0.0,
